Row 1 | Q: 질문 내용 | A: 답변 내용...
Row 123 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 입소 선발 기준은 다음과...
Row 124 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시 실적(주요 대학 합...
Row 125 | Q: 장학금 종류와 혜택이 궁금해 | A: 반갑습니다! **82년 전통의 명문고, 진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 궁금하시군요. 친절하게 안내해 드릴...
Row 126 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준은 다음...
Row 127 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 128 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 129 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준은 다음...
Row 130 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시 실적** 중 주요 ...
Row 131 | Q: 기숙사 생활시 개인 핸드폰을 소지할 수 있나요? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 기숙사 내 개인 휴대폰 소지 여부에 ...
Row 132 | Q: 신입생 기숙사 방 배정시 몇 학년이랑 같이 한 방에서 지내나요? | A: 신입생 입학을 환영합니다!   문의하신 기숙사 방 배정에 대해 안내해 드릴게요. 우리 진해고등학교는 학생들의 학교 적응과 학업 편의를 위해 **...
Row 133 | Q: 신입생 입학 장학금 기준이 어떻게 되나요? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  신입생 장학금과 관련하여 문의해주셨군요. 우...
Row 134 | Q: 학교 시험 난이도는 어떻나요? | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  질문하신 **학교 시험 난이도**에 대해 안내해 드...
Row 135 | Q: 1학년 기숙사 인원은 몇 명인가요? | A: 진해고등학교에 관심을 가져주셔서 감사합니다.  문의하신 **1학년 기숙사 수용 인원**에 대해 안내해 드립니다.  진해고등학교 기숙사(송학관/동...
Row 136 | Q: 송학관은 기숙사 방에 몇 명이 생활하나요? | A: 송학관은 3학년 학생들을 위한 기숙사 건물로, 한 방에 **2명이 생활**하도록 배정하고 있습니다.  더 궁금하신 점이 있으시다면 언제든 말씀해...
Row 137 | Q: 총 153명 중 1학년 기숙사 수용인원은 몇 명인가요? | A: 질문하신 내용에 대해 답변해 드립니다.  진해고등학교 기숙사(송학관/동백관)의 총 수용 규모는 153명이며, **1학년과 2학년은 동백관에 배정...
Row 138 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  진해고등학교 기숙사는 **중...
Row 139 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 우수한 인재들...
Row 140 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 정말 감사합니다.  2027학년도 신입생 모집을 위한 주요...
Row 141 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 대입 실적에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시...
Row 142 | Q: 진해인재스쿨이 뭔가요 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 특색 프로그램인 **'진해인재스쿨'**에 대해 궁금하시군요.  **진해인재스...
Row 143 | Q: 2026년 진해고 경쟁률 | A: 진해고등학교 입학에 관심을 가져주셔서 감사합니다!  질문하신 **2026학년도 경쟁률**에 대해서 안내해 드립니다.  안타깝게도 현재 제가 보유...
Row 144 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 2026학년도 대입 주요 진학 실적은...
Row 145 | Q: 2027학년도 전형 일정 알려줘 | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다. 꿈을 향한 도전을 시작하는 우리 학생과 학부모님의 입학을 진심으로 환영합니다.  문의하신...
Row 146 | Q: 합격자 커트라인 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **합격자 커트라인**에 대해 안내해 드립...
Row 147 | Q: 지원자 성적분포 | A: 안녕하십니까! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **신입생 지원자의 성적 분포**에 대해...
Row 148 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고민 중이시군요. 기숙사 선발 기준에 대해 안내해 드릴게요.  ...
Row 149 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 150 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준에 대해 ...
Row 151 | Q: 입시결과 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 82년의 역사와 전통을 자랑하...
Row 152 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담을 도와드릴게요.  문의하신 **2026학년도 대입 주요 진학 실적**은 다음과 같습니다. 우리 진해고등학교는...
Row 153 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교의 대입 성과에 관심을 가져주셔서 감사합니다.  **2026학년도 대입 주요 합격 실적...
Row 154 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 진해고등학교에 관심을 가져주셔서 감사합니다! 기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  우리 학교 기숙사는 **중학교 3년간의...
Row 155 | Q: 2027학년도 전형 일정 알려줘 | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다. 2027학년도 신입생 모집 전형 일정을 안내해...
Row 156 | Q: 입학 조건 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집 요강에 따른 **...
Row 157 | Q: 끝말잇기 | A: 반갑습니다! **진해고등학교** 공식 입학 상담 챗봇입니다.  입학 지원이나 학교생활에 대해 궁금한 점을 해결해 드리고 싶은데, '끝말잇기'는 ...
Row 158 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 159 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요. 기숙사 선발 기준에 대해 안내해 드릴게요....
Row 160 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈...
Row 161 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 진학 ...
Row 162 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 163 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 164 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교의 기숙사 선발 기준에 대해 안내해 드릴게요.  진해고등학교 기숙사(송학관/동백관)는 ...
Row 165 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 166 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준에 대해...
Row 167 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 희망하시는군요.  기숙사(송학관/동백관) 선발 기준은 다음과 같습니다....
Row 168 | Q: 남고임? | A: 네, 진해고등학교는 **남학생**들이 학업에 정진하는 **남고**입니다.   10개 학급 총 300명의 신입생을 모집하고 있으며, 82년의 전통...
Row 169 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교 기숙사 선발 기준에 대해 안내해 드릴게요.  진해고등학교 기숙사(송학관/동백관)...
Row 170 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 171 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준은 다음...
Row 172 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 우수한 인재들이 학업에 전념할...
Row 173 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 대학 입시 주요 진...
Row 174 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 궁금하시군요.  진해고등학교는 학생들이 학업에 전념할 수 있...
Row 175 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 대입 성과에 관심을 가져주셔서 감사합니다.  2026학년도 입시에서 우리 진...
Row 176 | Q: 진해인재스쿨은뭐야 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 특색 프로그램인 **'진해인재스쿨'**에 대해 궁금하시군요. 친절하게 안내해...
Row 177 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요. 기숙사 선발 기준에 대해 상세히 안내해 드...
Row 178 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 179 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교 입학 상담 챗봇**입니다. 본교의 진학 결과에 관심을 가져주셔서 감사합니다.  2026학년도 입시 결과(주요 대학 ...
Row 180 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 181 | Q: 장학금 종류와 혜택이 궁금해 | A: 반갑습니다! 82년의 전통을 자랑하는 명문, **진해고등학교**에 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을 응원하기 위해 *...
Row 182 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요. 기숙사(송학관/동백관) 선발 기준에 대해 ...
Row 183 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 184 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 우수한 인재들이 학업에 전념할...
Row 185 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 진학 ...
Row 186 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시 주요 대학 진학 결...
Row 187 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 진학 ...
Row 188 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈과...
Row 189 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.   우리 학교의 **기숙사 선발 기준**에 대해 안내해 드릴게요.  기숙사(송학관/동백관)...
Row 190 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입학을 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준에 대해...
Row 191 | Q: 전형일 | A: 안녕하세요! **진해고등학교 입학 상담 챗봇**입니다. 진해고등학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집 전형 일정은 다...
Row 192 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 193 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준에 대해...
Row 194 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 궁금하시군요. 친절히 안내해 드릴게요.  진해고등학교는 우...
Row 195 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 196 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 197 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 198 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 199 | Q: 장학금 얼마? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 진해고등학교의 장학금 제도에 대해 문의해 주셨군요.  우리 진해고등학교는 우수한 인재들이 ...
Row 200 | Q: 1인이 최대로 많이 받은 장학금이 얼민야 | A: 질문하신 장학금의 세부적인 개인별 수혜 금액에 대해서는, 개인정보 보호 및 지급 기준에 따라 일률적으로 공개하기 어렵습니다.  다만, 진해고등학...
Row 201 | Q: 한 사람당은? | A: 문의하신 질문에 대해 안내해 드립니다.  기숙사 거주 시 침실 수용 인원은 학년별로 다음과 같습니다.  * **1학년 및 2학년**: 동백관을 ...
Row 202 | Q: 장학금 모두가 받을 수 잇어? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  질문하신 **장학금 수혜 대상**에 대해 안내...
Row 203 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준은 **중...
Row 204 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을 응원하기 위해 ...
Row 205 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  2027학년도 진해고등학교 신입생 입학을 준비하시는군요! 꿈을 향한 힘찬 도전을 응원합...
Row 206 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 2026학년도 대입 입시 실적에 대해 문의주셨군요.  자랑스러운 우리 진해고 ...
Row 207 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교의 대입 실적에 관심을 가져주셔서 감사합니다.  요청하신 **2026학년도 입시 주요 ...
Row 208 | Q: 장학금 종류와 혜택이 궁금해 | A: 반갑습니다! 진해고등학교 입학 상담을 도와드릴 인공지능 챗봇입니다.  우리 진해고등학교는 우수한 인재들이 학업에 전념할 수 있도록 **연간 약 ...
Row 209 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 진해고등학교에 관심을 가져주셔서 감사합니다. 우리 학교 기숙사 선발 기준에 대해 안내해 드릴게요.  진해고등학교 기숙사는 **중학교 3년간의 내...
Row 210 | Q: 2027학년도 전형 일정 알려줘 | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다. 꿈을 향한 도전의 첫걸음을 내딛는 학생과 학부모님을 진심으로 환영해요!  문의하신 **2...
Row 211 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다.  우리 학교 기숙사(송학관/동백관) 입소를 희망하시는군요! 기숙사 선발 기준은 다음과 같...
Row 212 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시 실적(주요 대학 진...
Row 213 | Q: 김해 살고 있는데 성적이 좋지 않는데도 지원 가능한지요 | A: 반갑습니다. **진해고등학교** 입학 상담 챗봇입니다.  우리 학교 입학에 관심을 가져주셔서 감사합니다. 김해에 거주 중이신 학생의 지원 가능 ...
Row 214 | Q: 집안이 다을 진고를 나오는기는 했는데 아이 성적이 별루고 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다.  학부모님께서 우리 학교에 대해 깊은 관심을 가져주시고, 자녀분 진학 문제로 고민이 많으시군요....
Row 215 | Q: 아이가 김해로 이사 오면서 학교에 적응도 못하고 해서 진고는 | A: 안녕하세요. 진해고등학교 입학 상담 챗봇입니다.  학부모님께서 자녀의 학교 적응 문제로 고민이 많으시군요. 마음이 참 무거우실 것 같습니다.  ...
Row 216 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 우수한 인재들이 꿈을 마음껏 ...
